PopGrow;LifeExp;GNPperC;LogGNP;PeoplePh;PeopleHB;%Literac;%Agricul
2,6;37;160;5,075174;13820;3470;18;58
2,1;70,9;940;6,84588;966;156;75;50
2,6;42;470;6,152733;15404;322;28;55
1,4;75;10900;9,296518;524;80;99;6
0,1;73;11970;9,390159;436;91;100;9
2,1;47,8;160;5,075174;8988;4586;29;58
0;73,5;11360;9,337853;371;106;100;3
3,2;44;300;5,703783;16760;675;17;44
2,8;50,7;670;6,507278;1970;480;63;44
3,7;54,5;1030;6,937314;8120;421;41;77
0,2;71,6;4150;8,330864;387;90;95;17
2,3;57,5;200;5,298317;4470;1110;71;50
2,7;46,5;240;5,480639;45432;857;34;93
3,2;50,9;960;6,866933;13681;372;41;79
0,9;75,7;15080;9,621124;548;129;96;5
2,9;43;330;5,799093;2300;641;27;85
1,7;69,7;1310;7,177783;1635;292;94;15
1,2;67,8;300;5,703783;2550;484;65;72
1,5;68,2;4969;8,510974;1281;270;89;28
3,5;46,5;880;6,779922;5328;212;16;31
2,3;73;1590;7,37149;1456;297;88;27
4,1;50,5;750;6,620073;2090;804;35;77
0,2;71;5820;8,669056;345;80;100;13
0;74,5;15010;9,616472;482;130;99;6
2,8;62,6;730;6,593045;4023;351;69;22
2,9;64,3;1040;6,946976;1622;495;80;34
2,4;58,1;710;6,565265;760;509;38;37
0,5;74,5;12860;9,461877;483;170;99;7
-0,1;72,1;7180;8,879055;472;97;100;12
-0,1;73,7;14460;9,579142;431;89;100;5
2,6;52;390;5,966147;7245;665;30;48
1,5;52,7;360;5,886104;5940;1264;35;57
1,5;75,5;8260;9,01918;1116;221;77;2
-0,1;70,3;2240;7,714231;380;107;99;23
2,1;55,4;300;5,703783;2545;642;41;63
4;57,3;2060;7,630461;2630;621;37;37
3,2;62,4;3020;8,013012;1791;573;43;30
0,6;73;6030;8,704502;774;103;100;14
0,2;74,5;10420;9,251482;340;103;94;10
1;73;960;6,866933;2845;283;96;27
0,6;76,9;15770;9,665865;735;84;100;9
3,8;63,7;1540;7,339538;992;605;65;6
2,6;43,4;70;4,248495;15297;893;48;72
4;52,9;340;5,828946;9900;601;47;75
2,5;67,7;1000;6,907755;580;83;90;38
1,4;67,7;2690;7,897296;1387;607;88;24
0,5;65;1070;6,975414;529;247;68;17
2,7;49,3;360;5,886104;18660;488;59;81
3,5;49;440;6,086775;9240;582;20;67
2,8;49,6;200;5,298317;9939;405;53;80
3,7;45;160;5,075174;47760;532;31;81
2,6;66,8;1800;7,495542;3100;370;70;38
1,7;42;200;5,298317;26900;1834;9;85
2,2;65,7;1820;7,506592;2136;863;83;26
2,7;58,3;530;6,272877;15570;817;21;39
2,6;45,3;150;5,010635;39220;950;27;84
3,2;48,2;1020;6,927558;1953;168;38;46
3,4;48,5;370;5,913503;10020;1307;34;50
0,3;76;17110;9,747418;477;68;100;7
4,4;52,3;5780;8,662159;1620;529;38;61
3,1;50;350;5,857933;2930;1737;26;51
2,2;71;2240;7,714231;1045;251;86;26
2,3;51,9;730;6,593045;15400;233;32;71
3,2;65,1;1000;6,907755;1747;694;88;43
2,5;61,9;590;6,380123;2755;518;83;47
0,8;71,2;1920;7,560081;541;134;99;30
0,8;71,7;2890;7,969012;455;196;79;22
0,4;74;5520;8,616133;791;230;89;6
0,5;70,2;2540;7,83992;614;107;96;29
3,6;46,5;310;5,736572;29400;679;38;93
5,3;60,9;6930;8,843616;1642;678;25;40
2,4;34;250;5,521461;17370;840;24;62
1,1;71,8;7940;8,979669;1101;247;83;1
2,2;53,5;1347;7,205635;1906;152;80;15
0,5;74,3;6010;8,70118;362;198;93;15
1,5;68,4;400;5,991465;4007;350;86;37
0,2;76,3;15690;9,660779;478;69;100;5
0,5;76,1;21250;9,964112;726;96;100;6
3,2;51;220;5,393628;16800;490;46;79
2;62,7;840;6,733402;6766;648;88;66
1,8;68,7;4220;8,34759;1370;242;95;9
2,6;60,6;1210;7,098376;3620;436;47;30
2,5;61,6;1200;7,090077;1527;471;74;58
3,4;49;260;5,560682;22290;689;52;78
5,9;67,6;15680;9,660141;884;352;54;5
0,1;73,7;10430;9,252441;670;118;99;2
1;74,3;18430;9,821735;549;171;99;3
2,8;69;3230;8,080237;953;340;85;15
2,3;58,8;160;5,075174;4090;272;84;62
3,1;48,4;420;6,040255;6850;1660;9;65
0,7;70,7;2480;7,816014;644;166;90;29
2,9;55,8;590;6,380123;6220;333;69;58
