TIME;Sales;CP;CP(t-1);CP(t-2);DA;DA(t-1);DA(t-2);SeasIndx
1;425075;75253;0;0;457732;352872;304004;113
2;315305;15036;75253;0;254396;457732;352872;98
3;367286;134440;15036;75253;259952;254396;457732;102
4;429432;119740;134440;15036;267368;259952;254396;107
5;347874;135590;119740;134440;158504;267368;259952;119
6;435529;189636;135590;119740;430012;158504;267368;104
7;299403;9308;189636;135590;388516;430012;158504;107
8;296505;41099;9308;189636;225616;388516;430012;81
9;426701;9391;41099;9308;1042304;225616;388516;113
10;329722;942;9391;41099;974092;1042304;225616;97
11;281783;1818;942;9391;301892;974092;1042304;95
12;166391;672;1818;942;76148;301892;974092;65
13;629404;548704;672;1818;0;76148;301892;113
14;263467;52819;548704;672;315196;0;76148;98
15;398320;2793;52819;548704;703624;315196;0;102
16;376569;27749;2793;52819;198464;703624;315196;107
17;444404;21887;27749;2793;478880;198464;703624;119
18;386986;1110;21887;27749;457172;478880;198464;104
19;414314;436;1110;21887;709480;457172;478880;107
20;253493;1407;436;1110;45380;709480;457172;81
21;484365;376650;1407;436;28080;45380;709480;113
22;305989;122906;376650;1407;111520;28080;45380;97
23;315407;15138;122906;376650;267200;111520;28080;95
24;182784;5532;15138;122906;354304;267200;111520;65
25;655748;544807;5532;15138;664712;354304;267200;113
26;270483;43704;544807;5532;536824;664712;354304;98
27;365058;5740;43704;544807;551560;536824;664712;102
28;313135;9614;5740;43704;150080;551560;536824;107
29;528210;1507;9614;5740;580800;150080;551560;119
30;379856;13620;1507;9614;435080;580800;150080;104
31;472058;101179;13620;1507;361144;435080;580800;107
32;254516;80309;101179;13620;97844;361144;435080;81
33;551354;335768;80309;101179;30372;97844;361144;113
34;335826;91710;335768;80309;150324;30372;97844;97
35;320408;9856;91710;335768;293044;150324;30372;95
36;276901;107172;9856;91710;162788;293044;150324;65
37;455136;299781;107172;9856;32532;162788;293044;113
38;247570;21218;299781;107172;23468;32532;162788;98
39;622204;157;21218;299781;4503456;23468;32532;102
40;429331;12961;157;21218;500904;4503456;23468;107
41;453156;333529;12961;157;0;500904;4503456;119
42;320103;178105;333529;12961;0;0;500904;104
43;451779;315564;178105;333529;46104;0;0;107
44;249482;80206;315564;178105;92252;46104;0;81
45;744583;5940;80206;315564;4869952;92252;46104;113
46;421186;36819;5940;80206;376556;4869952;92252;97
47;397367;234562;36819;5940;376556;376556;4869952;95
48;269096;71881;234562;36819;552536;376556;376556;65
